creded,debitF,meanpay,billnum,debitM,zhongxingM,sidaM,xindaiR,cardnum,xindaiF,maxpay,zhuanzhangF,gongjiaoF,zhuanzhangR,age,gongjiaoR,sidaF,sidaR,zhongxingF,zhongxingR,xiaofeiF,jinkaF,zhuanzhangM,gongjiaoM,youxiM,xindaiS,black
0.01,51,404821,14,41823.24,104508,623452,130.27,5,7,1036237.93,0,0,265.02,31,365,2,308.14,3,315.7,0,4,306708.59,601.61,37.7,96615.42,0
0.31,9,372467,17,366671.1,36041,48737,33.15,13,4,192254.1,5,4,210.72,29,365,58,103.64,6,270.78,4,5,37113.62,874.59,54.39,119223.3,0
0.19,59,323421,223,619058.1,106603,220227,273.28,5,3,152530.72,15,0,149.11,30,253.88,26,260.02,0,266.65,1,1,404825.6,1211.26,55.84,4040.51,0
0.15,87,583063,155,29527.87,179437,265532,334.5,2,8,4082089.13,0,0,136.39,33,321.62,45,172.31,0,68.98,1,1,340950.29,360.34,186.26,13165.95,0
0.15,41,109719,43,432517.74,370462,15263,168.06,4,5,3064324.02,1,1,0.28,28,358.78,51,52.58,0,365,5,5,495771.25,1604.92,85.01,34890.16,0
0.19,136,696582,14,11823.74,22198,19437,32.15,8,5,51264.45,1,0,491.77,24,343.47,59,12.16,11,365,2,9,606062.63,4834.88,432.81,289395.86,0
0.29,8,195684,254,498454.24,2615,227573,142.97,7,11,3414588.41,64,1,29.93,36,332.76,22,232.54,1,300.44,0,0,321503.62,13668.45,58.75,956.88,0
0.02,2,35370,47,689611.39,239562,19773,299.36,8,3,977907.06,24,1,447.46,44,274.52,58,25.2,22,265.18,0,21,233437.45,360.16,3.2,7336.53,1
0.11,53,2155,113,229348.02,39539,567372,36.19,2,4,2694619.76,25,2,335.86,33,365,67,158.67,2,332.43,1,1,716276.76,7226.75,79.14,2290.18,0
0.66,22,223820,16,6851.01,221552,45112,152.04,10,9,133829,9,0,239.94,36,365,9,107.54,11,161.93,1,1,144236.04,4803.83,242.07,252490.74,0
0,92,389491,39,1357.04,206845,167531,338.17,6,3,76308.49,36,0,35.86,33,344.05,5,203.34,1,365,10,1,111599.96,6702,1107.03,84605.4,0
0.16,20,160357,124,433844.71,299930,130885,233.68,4,1,1040035.72,7,3,200.92,28,365,58,35.72,1,116.84,0,29,108007.99,1516.59,48.41,73397.07,1
0.01,57,498848,40,116.18,389402,458709,119.58,6,2,89652.11,0,2,103.92,28,365,3,144.29,1,191.77,0,17,290182.16,2047.4,56.21,162080,0
0.14,67,515324,85,5434.71,277023,457116,246.29,5,0,132042.83,5,3,699.04,32,348.41,8,24.01,14,282.01,1,3,51862.09,4468.34,223.01,27398.1,1
0.29,24,34655,207,283601.86,33352,176583,253.63,7,1,531140.17,75,0,221.56,28,365,19,68.68,2,365,5,19,15640.38,1427.11,237.48,75003.8,0
0.03,27,48008,231,373643.89,322974,387709,183.33,2,3,2323497.53,7,0,249.81,34,365,38,59.44,1,276.84,0,1,329792.04,544.32,268.32,88637.51,0
0.02,4,443209,8,749987.14,81287,265801,220.07,10,4,23792.87,44,0,41.13,27,348.56,12,8.71,3,244.06,1,2,161603.18,337.36,31.36,23511.75,0
0.55,5,144506,179,785802.13,104643,329018,131.53,7,1,19828.34,1,0,258.75,26,365,34,237.41,4,255.53,1,18,53343.37,6772.14,461.05,12438.72,0
0.01,2,26778,131,430179.88,115322,461357,141.16,4,1,1129130.85,26,2,112.07,31,365,16,301.89,4,8.14,0,1,275324.07,17322.47,1.36,21629.97,1
0.02,29,132582,132,419877.24,7848,128797,199.67,2,1,2661995.71,0,0,112.66,27,276.01,21,186.21,13,164.38,1,15,41498.29,29575.16,237.04,77341.92,0
0.19,14,654851,56,728691.04,93170,14730,245.14,0,7,222372.89,28,5,56.44,28,298.68,34,242.9,3,365,7,9,6897.32,13352.69,14.83,8008.7,0
0.01,7,113184,13,110020.64,301398,426961,32.56,7,0,2029270.48,16,0,207.19,36,311.78,62,161.79,1,365,0,5,635304.33,2232.31,9.37,54040.78,1
0.4,56,267686,11,560150.36,500973,328229,264.92,5,3,89920.42,32,0,329.79,26,365,28,25.63,20,261.62,2,0,33221.11,809.51,2.42,249078.63,0
0.32,3,371454,36,9852.77,222840,73437,31.58,2,0,43593.59,1,3,415.97,24,349.66,24,132.57,2,24.17,0,12,325796.69,1491.75,36.5,70404.37,0
0.26,30,198177,5,514806.75,321452,477586,299.57,1,7,85497.11,12,1,315.9,29,344.97,34,168.65,25,365,1,10,614469.36,958.88,71.1,396661.31,0
0.03,20,294862,4,15286.15,49013,79253,283.88,12,2,2229068.05,55,0,505.52,33,365,20,121.21,1,365,6,1,204811.68,2010.25,809.1,126508.66,1
0.17,53,221641,76,332274.93,178167,50544,155.97,5,2,1994785.64,15,2,202.99,39,365,43,144.06,0,345.61,2,0,200362.52,4679.38,11.2,5712.19,0
0.18,2,346719,54,558521.06,63212,55506,271.99,1,2,1926833.62,46,0,262.65,27,365,3,83.07,0,166.02,5,16,31321.39,1231.07,495.7,45535.42,0
0.02,22,399798,59,73627.18,45133,555331,241.14,6,5,775017.58,27,5,243.61,34,365,3,312.78,0,365,0,0,28017.09,10219.45,252.38,6340.25,1
0.23,46,192728,83,810878.96,31379,492939,365,11,2,1675675.09,19,0,252.99,25,365,0,84.81,1,365,0,0,11933.35,903.98,58.86,15687.5,0
0.16,6,38707,15,408839.89,593073,36783,75.78,15,1,75109.63,22,1,191.64,21,365,21,117.05,2,269.23,3,1,569007.36,6261.1,42.15,187009.33,1
0.03,5,192331,25,82135.41,7286,188273,311.94,11,0,3950941.84,6,2,220.66,33,352.38,120,22.04,0,307.7,1,1,886943.14,24023.98,38.45,35898.84,1
0.06,8,176712,78,103838.93,3851,47410,170.22,11,0,32147.38,25,2,234.27,27,349.91,29,122.62,1,277.9,1,2,81569.49,1705.7,659.5,349.75,0
0.51,23,522469,119,279205.8,29165,671154,303.03,4,7,473271.39,27,1,101.38,33,365,1,137.21,12,142.63,1,0,4919.79,973.65,28.2,284838.59,0
0.26,86,336454,96,51365.15,212373,499464,164.82,6,10,3701473.44,1,0,286.25,22,338.89,18,6.57,10,339.22,1,22,7426.02,18342.81,902.99,136708.23,1
0.01,94,32104,123,148454.81,399823,196098,247.42,2,1,15935.78,16,2,12.06,34,362.93,17,187.2,15,195.82,1,1,369092.36,77.33,10.62,113751.03,0
0.12,70,15886,14,285945.28,8951,20417,23.45,1,6,23311.04,46,0,166.25,28,365,26,181.21,0,365,6,1,872341.92,8546.61,685.86,8149.62,0
0.45,3,234743,15,362282.25,50253,76198,7.18,9,8,1456822.78,0,2,349.42,27,327.51,6,321.01,17,365,1,3,1891.94,11260.82,20.73,30449.61,0
0.11,10,45627,45,45223.6,37014,410348,312.42,12,9,193862.91,7,2,48.83,35,343.28,13,191.76,14,20,0,22,84397.21,26747.35,489.17,61502.47,1
0.03,4,152594,124,745206.69,9211,590645,41,6,11,1517022.85,51,1,224.12,28,325.38,6,121.37,23,339.93,4,3,10879.82,644.01,19.52,177885.97,0
0.33,88,263630,8,1120448,290461,595572,365,1,2,1371111.02,8,1,492.17,32,365,0,28.28,5,166.03,4,14,912998.36,2017.98,23.57,84487.08,0
0.01,6,10804,11,420790.42,23963,9046,360.92,2,6,772019.93,55,4,32.94,31,319.46,28,120.95,26,111.09,0,35,67503.18,13536.79,78.37,209298.5,1
0.05,1,53899,47,96748.67,138180,777735,365,6,2,3842898.96,48,2,456.64,27,365,9,171.98,5,104.07,5,12,6206.31,1963.7,8.93,117660.68,1
0.27,2,29784,6,749612.84,6234,353229,353.16,13,9,699056.26,1,0,35.96,32,347.04,84,282.56,2,230.31,7,3,92389.81,14094.1,71.89,68429.48,1
0.46,17,17500,78,20796.02,31028,230048,141.07,3,2,1691636.42,5,0,215.83,19,365,20,155.57,2,301.13,0,4,783126.5,1419.67,19.68,297161.88,0
0.03,13,607945,105,348636.08,48271,72190,116.32,1,9,135969.92,16,0,300.21,26,365,42,237.72,1,365,0,1,17375.94,405.85,98.16,3277.44,0
0.05,51,1124670,206,67827.46,506953,401026,47.03,4,8,3293109.03,32,2,307.41,30,333.94,41,362.58,1,329.52,0,25,44355.93,10363.19,50.52,110997.77,0
0.09,6,32694,11,428973.63,277571,144169,303.63,4,5,89514.84,39,0,131.94,30,339.51,28,102.23,16,331.96,11,5,40801.05,232.09,432.61,10261,1
0.28,8,496788,32,66495.55,143250,3550,135.04,0,0,3619455.06,0,0,187.16,30,365,59,79.54,2,85.2,0,4,589247.58,191.75,880.21,73471.16,0
0.41,64,3014,8,16159,14705,166068,32.31,1,1,244842.21,46,0,206.59,29,365,3,137.01,28,365,0,2,456563.01,7468.47,51.84,152434,1
0.44,2,137735,68,632729.35,72743,19110,252.26,7,6,1717632.46,63,0,178.86,27,365,3,267.41,1,273.6,0,1,192793.55,9177.85,38.94,62723.11,1
0.05,145,165150,203,20242.27,164783,318723,45.05,3,12,1152225.11,6,5,382.75,32,365,16,45.77,3,365,1,10,520520.6,250.13,386.61,21260.86,0
0.29,4,211285,138,529946.84,181462,540431,100.6,8,2,65660.54,10,0,36.13,27,334.78,38,140.06,18,205.7,1,5,14043.25,591.22,252.94,40666.49,0
0,7,115130,3,410175.88,352490,92323,202.71,4,4,2491540.84,5,1,299.88,32,340.76,1,222.42,2,365,5,0,490479.5,863.64,29.87,86783.86,0
0,100,33472,154,192553.66,91792,400191,105.31,5,4,144839.56,15,0,274.68,33,307.3,14,130,1,274,4,0,10814.38,799.53,10.64,13095.14,0
0,4,119419,10,6238.47,73193,182614,363.37,10,1,249243.38,39,1,51.08,25,365,2,171.59,1,249.76,9,30,10542.74,1448.83,13.76,21535.94,1
0.03,49,6023,217,473076.71,257974,26879,34.78,10,9,1221043.52,1,0,26.12,25,365,81,22.04,8,365,0,3,77345.94,36102.57,193.06,246123.18,1
0.22,66,354167,10,600923.31,5242,399386,40.67,1,12,1268406.11,0,0,151.95,34,359.72,9,365,1,344.86,0,12,198430.16,8811.38,6.36,2918.44,0
0.25,47,834397,246,175632.22,226796,32002,346.13,0,2,696277.21,54,3,296.52,30,315.89,21,22.55,1,310.41,0,1,321353.04,25245.44,557.82,1602.13,0
0.14,42,10044,138,153535.89,180775,927220,30.44,6,8,503739.4,0,2,152.9,20,337.6,17,25.13,35,147.4,3,15,286632.41,3983.21,56.91,307121.37,0
0.01,55,231516,7,4807.56,20719,125548,365,7,5,38770.88,19,0,116.18,34,301.11,48,89.6,23,160.38,6,14,125871.03,12108.44,3.98,221293.56,1
0.16,46,277686,19,160936.76,362535,424529,11.12,2,5,1976102.71,33,1,37.21,31,310.73,5,91.73,1,222.4,4,2,887993.09,998,470.43,138400.51,0
0.01,77,448842,87,199970.73,328838,353059,69.81,3,9,91374.02,11,0,97.68,33,365,30,21.19,14,232.56,8,8,565821.55,9490.82,0.33,108333.26,1
0,4,239184,4,300478.75,274590,16603,122.51,8,6,55123.83,2,0,89.46,35,298.62,17,34.8,6,129.13,0,2,112865.23,3146.18,33.1,2738.71,1
0.01,33,101546,8,458096.23,400880,133069,341.85,11,7,2635148.7,56,0,221.88,31,360.23,0,23.86,10,341.34,6,5,753945.02,3922.76,169.91,133850.78,0
0.02,0,510979,48,367650.7,243496,268874,365,0,1,231949.38,28,0,95.13,33,365,46,149.35,3,311.85,1,0,62765.46,1140.46,71.03,14023.42,0
0,22,151793,153,14862.65,258622,378657,141.12,11,0,613776.16,18,2,221.25,38,365,2,114.75,2,253.83,13,14,462965.93,710.57,147.01,19561.88,1
0.02,6,57191,92,486143.45,2770,447467,342.98,10,9,1000721.55,42,1,69.27,26,365,1,175.32,22,238.22,0,1,243841,6805.09,75.97,165446.95,1
0.02,2,359817,70,422953.72,873,273530,183.35,7,9,91840.68,24,6,294.47,29,365,49,129.59,1,183.94,6,11,954603.21,20919.47,50.06,96333.95,1
0.21,9,38480,188,554899.7,185918,19467,77.33,3,0,2526065.96,58,0,114.33,34,259.24,5,87.47,0,189.51,9,0,81503.76,809.56,130.53,146689.17,0
0.26,63,88800,7,104357.56,29158,17409,171.34,1,6,657317.93,2,1,139.15,35,357.87,58,186.14,36,365,3,2,91741.69,7387.51,7.86,194800.93,0
0.42,1,629039,28,14648.19,341381,142325,274.7,5,0,87810.45,1,0,374.72,32,300.23,1,91.65,11,365,5,0,509788,418.54,44.89,14023.05,0
0.11,73,23881,259,248430.8,324028,37313,133.38,12,5,1817565.1,11,0,557.46,34,365,49,39.06,0,189.9,1,0,997537.58,29991.21,26.93,764.69,0
0.56,70,486778,2,470018.96,28666,19600,284.14,8,0,2384882.05,11,2,280.28,36,365,53,192.53,15,176.56,0,0,22766.98,824.96,113.64,127969.24,0
0.19,4,119395,4,220847.67,354724,179263,312.44,7,4,3588736.76,47,3,273.79,28,365,3,197.92,0,365,1,2,14292.4,15441.97,543.91,171140.12,1
0.07,57,312476,1,460076.86,8536,963083,40.54,9,0,834503.14,21,0,249.05,31,365,82,59.55,13,171.55,0,4,35275.96,8831.81,29.49,249654.54,0
0,3,910160,196,735454.11,9559,728926,146.36,3,4,1222622.99,30,0,59.58,17,345.28,21,319.53,10,65.05,1,1,390356.51,12059.99,21.5,244228.32,0
0.59,5,187463,11,51135.08,356422,38903,365,3,7,132849.73,4,0,433.27,32,351.36,24,210.04,8,245.27,10,1,208238.92,11279.85,23.53,235813.63,1
0.38,28,157019,20,307735.58,25424,472190,237.94,3,5,119062.44,4,0,341.98,35,296.15,35,215.57,2,152.19,0,2,9348.09,2056.8,68.67,20110.91,0
0.23,33,714051,6,483524.29,439908,17186,99.3,1,9,1328998.01,14,0,245.43,31,365,0,174.39,0,365,0,0,15594.28,23566.49,74.2,10417.65,0
0.32,80,89870,144,219812.66,188746,21329,116.7,5,0,1373184.6,38,0,266.23,31,365,1,173.99,1,23.98,10,4,380653.8,276.7,47.24,65992.19,0
0.31,2,31439,118,28675.99,35475,371115,254.82,13,1,3229580.45,26,0,226.59,31,313.03,11,151.18,5,18.65,5,0,157710.89,3086.87,24.13,141202.83,1
0.27,2,627603,58,639861.32,333133,931974,118.75,5,1,2895547.55,1,1,101.91,38,300.09,2,292.32,11,256.03,1,17,104908.61,588.64,192.92,180827.04,0
0.29,33,997628,219,181318.46,438939,67995,194.55,5,6,2870.61,42,2,29.32,25,292.55,0,14.56,0,184.29,0,3,39965.45,820.39,493.13,25300.27,0
0.31,91,538560,43,732054.83,222323,99293,253.94,1,5,3282417.74,29,2,42.24,34,351.19,4,226.78,4,121.81,0,8,32526.21,6297.6,130.33,228562.36,0
0,1,69965,11,13686.75,513094,209819,22.77,4,7,1955377.58,26,0,360.53,35,335.08,2,66.63,32,323.68,4,1,47762.47,19.17,13.35,167022.09,0
0.05,7,15409,13,201933.71,18640,18900,30.8,5,2,1740268.14,16,0,110.58,20,334.35,58,23.95,7,170.07,1,13,39331.51,14837.79,1.26,18599.14,0
0.12,124,406046,106,279914.86,300748,79899,47.52,4,2,757890.94,57,0,27.51,36,365,4,177.82,27,280.52,1,1,5728.29,12869.04,21.7,26635,0
0.01,2,394312,2,459234.88,29210,658677,175.18,7,6,925641.26,24,0,399.6,31,326.95,34,73.57,17,286.48,0,6,41668.97,3549.93,431.63,5064.16,0
0.54,23,24704,3,462591.88,3507,62452,117.33,10,7,3314049.03,2,2,301.71,25,365,3,142.19,0,289.93,10,20,73241.52,997.45,100.78,103412.87,0
0,8,625388,82,136233.46,530128,81434,243.21,1,2,2121749.55,15,1,177.62,30,365,36,108.08,2,69.12,4,0,41873.32,1489.04,70.82,29027.04,0
0.13,2,676664,34,23932.19,114491,196837,308.05,3,0,1749447.53,51,0,146.24,25,365,40,74.6,0,313.5,1,12,121683.23,4.37,20.04,187800.09,0
0.01,2,448201,96,28967.91,262578,268907,213.73,6,0,2306850.59,26,0,162.77,27,339.82,34,168.34,1,233.94,5,4,555552.72,230.28,56.03,282998.28,0
0.12,3,215634,3,49897.9,17042,429453,365,11,5,3441025.88,3,2,123.78,27,311.33,18,102.56,6,31.55,0,10,377511.02,17192.5,54.77,6284.41,1
0.13,46,718046,73,388040.37,12284,398406,261.78,11,9,1327218.72,3,0,170.85,30,341.08,0,120.55,0,32.92,3,0,570206.08,16164.75,12.4,78255.33,0
0.09,56,83670,164,149384.73,6348,23406,94.75,9,5,1086056.61,71,0,153.35,22,365,31,57.34,3,192.33,5,11,1079047.91,420.64,6.08,5543.98,0
0.01,49,256336,9,383216.18,20565,317290,244.84,9,1,59071.6,31,0,231.25,27,365,2,24.71,5,365,0,5,95360.47,814.5,22.71,102440.87,0
0,60,744643,212,289324.17,19413,540352,193.43,11,1,18476.05,5,1,221.91,25,337.82,33,267.96,19,41.66,8,13,109626.98,6066.12,7.91,46957.1,0
0.24,29,6148,80,258874.67,633536,210056,126.86,1,1,52005.48,3,1,349.05,28,365,37,306.94,12,167.7,9,0,1129437.23,22267.57,42.73,4206.17,1
0.01,23,233514,19,361925.14,1179,17703,38.44,2,1,2911490.41,80,0,334.63,32,350.37,2,320.72,1,224.95,1,7,20604.6,251.14,42,138710,1
0.12,24,390918,6,401024.52,211518,603227,281.18,0,9,514484.48,9,0,478.13,34,365,15,13.82,0,365,0,1,44265.76,10561.28,482.18,75833.69,1
0.26,3,53664,96,376240.43,11365,220210,28.41,5,3,57912.41,5,0,107.15,27,365,6,234.33,19,201.96,3,2,40709.59,5856.38,38.64,107243.53,0
0.07,3,29267,123,7433.05,26304,222824,211.54,5,6,3168702.42,60,0,17.84,31,358.52,33,86.71,1,365,1,0,164572.81,2216.98,1.19,191690.79,0
0,0,408166,10,48883.94,211382,401021,22.5,6,8,2016443.01,49,2,251.61,27,317.01,42,96.11,0,169.62,3,2,684132.9,275.12,53.71,49387.46,0
0.05,94,455260,9,493066.48,91536,76303,286.27,3,5,2034678.74,83,0,194.63,31,365,13,157.46,3,145.35,7,10,432617.98,1817.3,58.66,102206.78,0
0.42,32,439574,31,26982.18,18876,25003,53.1,12,10,2180220.81,21,2,325.53,30,365,38,246.39,1,67.88,7,2,17006.23,15524.16,192.95,356922.3,0
0.41,54,12361,7,894202.44,3833,31001,20.31,3,9,1034537.84,11,3,257.64,37,359.22,9,122.75,7,289.98,5,0,98470.88,1264.17,49.17,2784.42,0
0.49,14,281294,49,21635.3,230700,8194,304.2,6,8,817838.87,19,0,358.6,23,359.59,16,77.82,1,365,2,5,133340.51,2618.59,1.84,12848.88,0
0.4,86,254657,41,447606.64,21182,349040,207.18,17,12,897528.09,16,1,75.18,29,364.5,20,110.2,1,280.93,2,12,301544.64,17492.78,344.04,181346.79,0
0,5,25466,6,12607.8,538901,6026,334.94,4,20,4361242.58,1,3,195.25,26,351,47,11.37,7,134.77,3,0,336448.52,7991.13,336.99,111050.89,1
0.02,70,10035,52,444624.74,3064,196304,148.75,5,7,1318798.49,21,1,111.24,36,328.07,16,33.98,0,365,1,5,78290.88,16883.91,31,186931.1,0
0.11,4,48508,11,491292.32,52030,26202,284.24,8,6,1946717.93,67,2,365.67,28,364.86,2,217.17,0,365,1,0,19207.73,2036.48,42.87,188217,1
0.06,40,440724,16,398977.23,153916,352263,117,13,5,336702.74,2,1,153.56,31,332.05,39,4.11,1,228.72,0,20,18839.33,15483.49,704.19,5903.88,1
0.01,3,366723,176,105566.79,29378,526050,34.96,2,0,297535.42,4,0,105.67,26,365,4,34.56,11,153.67,1,17,206408.11,479.13,46.53,18953.61,0
0,97,28534,4,68543.87,61086,121382,207.76,15,0,733.79,8,0,169.77,24,356.57,50,164.09,8,365,0,3,317190.99,7241.48,15.01,86191.36,0
0.35,73,41764,95,364497.22,26781,77976,313.7,7,8,3178434.32,4,3,443.98,33,360.34,1,284.64,9,27.84,1,0,365765.12,1615.12,75.55,46813.39,1
0.43,1,242695,138,338500.53,441140,148045,53.51,4,0,44019.1,0,0,236.24,35,351.49,10,153.5,1,202,4,3,437794.76,199.21,15.35,181540.5,0
0.15,42,605457,28,388526.99,235013,853855,40.54,1,6,5142735.31,65,0,43.7,40,324.2,0,92.47,6,349.26,0,10,387887.81,2513.99,21.5,220075.86,0
0.13,39,180192,7,25903.42,215550,584539,30.46,6,3,2026337.32,33,0,91.31,22,365,3,191.12,1,30.46,0,16,595445.48,3569.46,1.98,96564.12,0
0.08,0,17039,8,405564.53,235791,2255,107.94,4,2,4808147.28,0,1,223.07,33,323.33,6,120,18,351.92,2,0,201738.63,1293.83,538.68,26926.83,0
0,58,433891,49,52477.76,14258,267919,57.28,1,3,227009.37,75,0,313.32,33,365,2,315.82,4,291.33,1,1,879911.44,18570.02,275.27,242948.93,0
0.01,102,456648,209,412588.13,495000,738,152.49,10,4,2989337.51,3,0,84.94,34,321.4,52,199.21,1,39.64,2,2,47306.09,9040.78,482.54,18841.94,0
0.06,118,422995,9,526587.67,390254,17597,284.76,6,2,1637596.66,3,0,9.93,32,365,11,228.1,10,361.41,0,1,637028.94,22017.17,68.1,136995.76,0
0.03,79,406249,208,113864.64,35339,27824,135.32,5,6,164820.59,49,1,152.37,37,365,21,106.93,13,178.53,2,6,612959.43,6146.87,24.17,232178.9,0
0.14,0,13260,18,127711.69,353423,296809,185.11,1,1,91682.39,23,0,165.07,33,365,13,28.42,0,283.95,0,0,1081605.44,8067.3,26.51,39371.81,0
0.24,54,401107,91,666.03,339652,533660,49.21,2,0,61865.3,33,0,50.26,28,363.61,1,38.24,5,53.4,0,2,23033.18,13304.78,630.04,119131.3,0
0.04,53,471636,107,16220.31,228564,639729,365,1,7,2057016.78,51,1,226.28,32,365,3,284.53,1,228.26,1,11,20359.03,7530.1,508.75,1516.91,0
0.4,10,271283,54,178718.3,130152,167409,65.77,5,1,202718.03,20,1,327.54,28,365,9,252.6,3,337.06,5,2,576782.96,2528.41,239.03,5758.57,0
0.44,1,312613,4,518508.31,13536,38368,165.01,12,5,80864.53,76,0,377.33,33,338.08,29,141.89,0,162.94,0,1,517932.1,541.8,618.12,268191.68,1
0.35,69,30923,91,626134.06,387559,2378,34.54,5,3,2895072.88,30,0,274.59,26,323.97,17,166.39,2,250.19,13,13,32458.48,201.99,96.8,330806.15,0
0.01,48,52861,126,495676.46,476830,14480,25.15,10,0,1637016.66,0,0,54.15,25,329.16,22,96.84,11,365,10,1,39197.8,8160.19,83.1,15013.93,0
0.01,3,43274,64,87451.73,23540,497664,154.39,4,3,2072932.95,1,0,406.99,31,307.4,0,248.84,8,365,0,1,941761.42,1386.82,37.46,19920.2,1
0.12,5,299187,33,734369.25,147196,3189,82.33,9,0,2892537.44,57,1,58.49,38,365,52,51.95,9,232.37,0,11,38624.82,1268.58,707.3,124056.31,1
0.13,4,250191,105,31705.44,284123,57668,89.5,8,0,1957172.86,46,0,12.4,28,365,72,146.4,1,310.52,8,0,384549.3,967.27,28.54,10411.94,1
0.23,22,4895,4,749162.81,849332,740968,132.66,5,2,27158.82,42,0,411.89,30,361.57,26,107.74,11,112.52,6,1,271130.64,10798.63,618.94,117448.58,1
0.02,9,14241,150,23061.94,18164,31449,57.92,6,0,2368892.12,30,2,147.13,32,316.33,43,205.4,2,365,3,11,653331.32,9294.19,10.35,107925.9,0
0.04,44,18345,3,653798.78,24186,192784,36.38,6,5,2310564.35,15,1,173.85,22,317.1,1,103.79,10,317.32,1,9,88727.24,972.83,384.37,2755.09,0
0.17,61,10800,143,43477.14,9966,6070,194.83,7,9,1134603.88,1,0,160.18,26,365,6,235.67,11,196.1,4,1,25636.79,11596.99,321.78,56399.19,0
0.04,2,275544,61,211166.37,23391,61438,189.43,7,3,1556528.28,0,1,302.48,34,365,14,56.46,3,357.33,0,1,14553.39,2114.9,309.85,33765.93,1
0.14,5,255871,188,163178.36,38940,1110245,84.02,4,0,801107.63,3,0,360.24,21,365,12,198.15,1,182.74,1,0,5876.16,104.17,668.02,110993.65,0
0.48,97,453758,133,7389.64,82896,50723,320.93,16,1,2065744.66,60,0,551.76,25,290.25,1,52.64,6,67.12,6,12,444929.45,141.5,15.8,253851.52,0
0.01,75,347486,228,584156.1,26513,174578,91.06,8,11,1124172.17,8,3,178.61,34,267.09,57,66.25,2,238.08,9,13,84653.22,1282.96,962.99,132586.06,1
0.37,16,3971,8,533498.65,133581,34430,28.78,8,2,1181630.34,0,0,295.99,28,359.74,7,237.32,1,365,0,11,36211.13,2328.39,248.58,68753.46,0
0.31,127,338162,6,79531,10361,2192,47.38,5,8,4941732.49,19,2,164.56,30,322.1,12,22.6,2,289.94,1,0,661966.98,20566.1,10,72798.42,0
0.31,2,198601,156,537485.65,582820,423457,118.68,1,1,3593503.96,42,5,304.89,39,350.92,69,73.59,21,17.18,0,10,414353.85,21046.46,13.96,118180.81,1
0.39,66,160146,117,7477.55,244588,211844,225.19,13,8,929008.23,10,0,253.59,28,365,16,134.81,2,85.29,9,18,661517.84,1457.21,149.64,7734.21,0
0.1,100,3632,68,709786.37,152070,295275,60.11,1,1,318004.93,2,1,227.27,28,365,32,196.94,0,365,0,1,78469.76,137.06,307.04,136384.25,0
0.14,36,307146,125,162599.87,505522,456036,209,12,0,34827.41,6,0,53.44,29,365,0,365,20,317.8,2,0,189271.98,674.92,65.16,214848.63,0
0.02,6,535462,202,471514.84,36835,407304,243.35,4,9,47846.95,1,2,6.77,34,365,8,76.89,8,365,0,4,26253.5,566.85,112.94,158786.83,0
0.2,5,364400,72,39196.93,13449,11249,135.93,7,0,1753840.39,12,0,279.61,28,365,49,124.15,1,305.42,5,29,25277.05,1255.2,25.42,207577.72,0
0.35,38,282727,2,53377.81,416471,578962,195.41,1,0,2476088.94,13,1,366.85,31,365,63,212.69,0,348.37,0,3,232918.42,539.31,48.66,123560.64,0
0.14,39,125522,69,12933.98,18676,98506,268.41,5,1,962237.95,1,0,290.53,33,354.1,50,211.58,1,196.13,11,2,423992.02,907.82,762.06,339985.74,0
0.34,44,395997,150,240167.58,9872,233667,365,15,0,518229.74,37,0,271.74,35,352.93,13,265.45,5,224.76,1,2,100617.4,24603.14,444.05,112820.15,0
0.35,154,555131,24,35880.84,20693,161835,25.2,2,0,2134353.95,50,4,121.83,25,308.54,2,218.06,0,215.31,2,8,8575.2,22824.42,420.84,11112.91,0
0.02,6,938,14,408138.19,455766,297928,233.45,7,4,180479.09,75,4,315.9,32,365,9,64.28,3,332.96,6,1,447018.73,9691.9,159.78,214123.5,1
0.17,14,410028,30,78561.92,209574,597062,14.12,4,8,1827420.29,5,0,464.15,25,348.13,16,105.24,18,230.38,1,2,61475.7,459.64,25.01,22997.62,0
0,123,613429,286,220970.66,68101,248640,105.21,1,1,114268.18,9,0,233.24,30,328.2,50,69.72,12,150.38,4,1,430124.38,73.31,17.66,119645.32,0
0.07,22,485539,105,683112.07,28912,2107,346.92,7,4,834709.91,6,4,105.48,30,357.17,4,354.93,22,8.58,5,2,546941.22,6585.18,656.44,25046.08,0
0.07,5,16841,163,312860.68,3677,7379,119.61,8,0,822357.18,4,2,115.45,28,365,8,146.83,4,30.97,1,8,568767.19,7331.54,45.96,203826.73,0
0.03,15,319718,17,932131.84,40730,628212,53.41,6,1,206584.74,6,0,6.29,28,365,29,364.74,0,204.9,0,3,8679.27,1992.54,79.43,84404.07,0
0.29,38,515073,13,216775.99,20625,31839,261.03,5,1,3448964.75,2,3,179.07,28,330.08,38,74.11,0,152.47,0,5,15975.96,2039.99,63.18,17444.19,0
0.02,27,367642,13,439771.64,177165,48340,145.54,10,8,1612654.5,64,0,539.03,30,364.29,3,319.81,0,326.26,9,1,718689.86,814.48,1.89,99541.48,1
0.2,1,26187,241,369700.21,368170,1593,26.21,0,0,193515.45,13,3,326.62,27,365,31,24.65,2,365,1,8,701091.51,17042.61,16.86,173890.69,0
0.02,2,651478,105,146815.87,416628,119490,95.17,4,3,605044.17,9,4,383.34,28,309.27,2,47.47,20,357.05,4,20,66129.98,2145.37,989.63,87459.74,0
